WeekNumber,SalesDepotID,SalesChannelID,RouteID,ClientID,ProductID,Demand,NewClientName,NewProductName,pieces,weight,brand,Town,State
8,1110,7,3301,15766,1212,4,Post,rol canel,2.0,120.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1216,5,Post,rol glass,2.0,135.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1220,1,Post,colchon,6.0,130.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1238,3,Post,panquecit got choc,2.0,140.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1240,2,Post,mantec vainill,4.0,125.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1242,1,Post,donit espolvor,6.0,105.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1250,8,Post,don azuc,4.0,105.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,1309,3,Post,bimbunuel,4.0,66.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,3894,2,Post,sponch,8.0,120.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,30531,17,Post,princip,10.0,106.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,30548,3,Post,suavicrem chocolat,6.0,84.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,31309,8,Post,canelit,6.0,90.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,31506,9,Post,polvoron,6.0,113.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,31688,4,Post,big muffin vainill chisp choc,6.0,130.0,dh,2008 ag lago filt,méxico df
8,1110,7,3301,15766,32393,2,Post,reban,2.0,55.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,32819,4,Post,chocodonit,6.0,102.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,32936,2,Post,plativol,10.0,92.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,35303,15,Post,barrit fres,6.0,75.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,35452,6,Post,chocotorr fres,1.0,50.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,35455,5,Post,dalmat,1.0,55.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,35651,11,Post,madalen,3.0,93.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,15766,37057,4,Post,choc rol,2.0,80.0,mla,2008 ag lago filt,méxico df
8,1110,7,3301,15766,41938,2,Post,mantec nuez,6.0,123.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,22926,1125,30,Individual,tortillin,10.0,255.0,tr,2008 ag lago filt,méxico df
8,1110,7,3301,22926,42122,12,Individual,pan mantequill buttermilk,6.0,680.0,oro,2008 ag lago filt,méxico df
8,1110,7,3301,24080,1125,38,Small Franchise,tortillin,10.0,255.0,tr,2008 ag lago filt,méxico df
8,1110,7,3301,24080,1187,2,Small Franchise,mol,6.0,5000.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,24080,2233,4,Small Franchise,pan blanc,6.0,640.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,24080,42122,24,Small Franchise,pan mantequill buttermilk,6.0,680.0,oro,2008 ag lago filt,méxico df
8,1110,7,3301,24695,2233,6,Eatery,pan blanc,6.0,640.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,50379,1146,3,Small Franchise,pan integral,6.0,675.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,50379,2233,45,Small Franchise,pan blanc,6.0,640.0,bim,2008 ag lago filt,méxico df
8,1110,7,3301,50379,36410,12,Small Franchise,tortill consum,24.0,577.0,tr,2008 ag lago filt,méxico df
8,1110,7,3301,50379,47612,5,Small Franchise,bimboll extra fs,6.0,480.0,bim,2008 ag lago filt,méxico df
